name,url,pic_url,release,avg_rating,n_ratings,playability,components,writing,art_direction,replayability,publisher,genre,type,theme,scale,proportion,mechanic,playtime,age_rating,min_players,max_players,status,br_score
Discworld: Ankh-Morpork,https://www.beastsofwar.com/game/discworld/,https://www.beastsofwar.com/game/discworld/,2011,0,3,0,0,0,0,0,Mayfair Games,Fantasy,Board Game,,,,,60,11,2,4,,0.735600734
Dishonored: The Roleplaying Game,https://www.beastsofwar.com/game/dishonored-the-roleplaying-game/,https://www.beastsofwar.com/game/dishonored-the-roleplaying-game/,2020,0,1,0,0,0,0,0,Modiphius Entertainment,"Fantasy, Weird",Role-playing Game,,,,,360,14,2,5,In Development,1.022088992
Disney: Villainous,https://www.beastsofwar.com/game/disney-villainous/,https://www.beastsofwar.com/game/disney-villainous/,,0,2,0,0,0,0,0,,,,,,,,,,,,,0.855497306
Disposable Heroes,https://www.beastsofwar.com/game/disposable-heroes/,https://www.beastsofwar.com/game/disposable-heroes/,2004,0,1,0,0,0,0,0,Iron Ivan Games,Historical,Miniature War Game,,28mm,TRUE,,120,12,2,,,1.022088992
District 9: The Board Game,https://www.beastsofwar.com/game/district-9-the-board-game/,https://www.beastsofwar.com/game/district-9-the-board-game/,2020,0,0,0,0,0,0,0,,"Science Fiction, Strategy",Board Game,,32mm,,,,,2,4,Crowd Funding,1.269251337
District-Z,https://www.beastsofwar.com/game/district-z/,https://www.beastsofwar.com/game/district-z/,2014,0,0,0,0,0,0,0,Self-Published,Post-Apocalyptic,Card Game,,,,,30,12,1,8,,1.269251337
Dixit,https://www.beastsofwar.com/game/dixit/,https://www.beastsofwar.com/game/dixit/,2008,8.3,8,9.4,8.8,4.4,10,8,Libellud,Family,Board Game,,,,,30,8,3,6,In Production,5.90416078
Doctor Who Miniatures Game,https://www.beastsofwar.com/game/doctor-who-miniatures-game/,https://www.beastsofwar.com/game/doctor-who-miniatures-game/,2016,6.7,5,6.7,10,5,5,6,Warlord Games,Science Fiction,Miniature War Game,,28mm,TRUE,,30,12,2,4,,4.241650798
Doctor Who Roleplaying Game,https://www.beastsofwar.com/game/doctor-who-roleplaying-game/,https://www.beastsofwar.com/game/doctor-who-roleplaying-game/,2009,0,4,0,0,0,0,0,Cubicle 7 Entertainment,Science Fiction,Role-playing Game,,,,,120,,2,,In Production,0.645179819
Doctor Who: Time Of The Daleks,https://www.beastsofwar.com/game/doctor-who-time-of-the-daleks/,https://www.beastsofwar.com/game/doctor-who-time-of-the-daleks/,2017,0,2,0,0,0,0,0,Gale Force Nine,Science Fiction,Board Game,,,Heroic,,120,,2,4,,0.855497306
Dogs Of War,https://www.beastsofwar.com/game/dogs-of-war/,https://www.beastsofwar.com/game/dogs-of-war/,2014,0,1,0,0,0,0,0,CMON,Steampunk,Board Game,,,,,60,14,3,5,,1.022088992
Dominion Of The Gods,https://www.beastsofwar.com/game/dominion-of-the-gods/,https://www.beastsofwar.com/game/dominion-of-the-gods/,2013,0,0,0,0,0,0,0,Comfy Chair Games,Fantasy,Miniature War Game,,28mm,Heroic,,20,,2,,,1.269251337
Don't Get Got,https://www.beastsofwar.com/game/dont-get-got/,https://www.beastsofwar.com/game/dont-get-got/,2018,0,1,0,0,0,0,0,Big Potato Games,Humour,Card Game,,,,,,,2,8,In Production,1.022088992
Don't Give Up The Ship!,https://www.beastsofwar.com/game/dont-give-up-the-ship/,https://www.beastsofwar.com/game/dont-give-up-the-ship/,1972,0,0,0,0,0,0,0,Guidon Games,Historical,Miniature War Game,,,,,360,,3,18,,1.269251337
DOOM,https://www.beastsofwar.com/game/doom/,https://www.beastsofwar.com/game/doom/,2016,0,4,0,0,0,0,0,,Horror,Board Game,,28mm,Heroic,,120,14,2,5,,0.645179819
Doomtown Reloaded,https://www.beastsofwar.com/game/doomtown-reloaded/,https://www.beastsofwar.com/game/doomtown-reloaded/,2014,0,2,0,0,0,0,0,,Western,Card Game,,,,,30,12,2,4,,0.855497306
Doomtrooper,https://www.beastsofwar.com/game/doomtrooper/,https://www.beastsofwar.com/game/doomtrooper/,1994,0,0,0,0,0,0,0,Self-Published,Science Fiction,Card Game,,,,,60,10,2,7,,1.269251337
DoppelgÃ¤nger,https://www.beastsofwar.com/game/doppelganger/,https://www.beastsofwar.com/game/doppelganger/,,0,0,0,0,0,0,0,,,,,,,,,,,,,1.269251337
Doppelt So Clever,https://www.beastsofwar.com/game/doppelt-so-clever/,https://www.beastsofwar.com/game/doppelt-so-clever/,2019,0,0,0,0,0,0,0,Schmidt Spiele,Strategy,Dice Game,,,,,30,10,1,4,In Production,1.269251337
Drachen Sachen,https://www.beastsofwar.com/game/drachen-sachen/,https://www.beastsofwar.com/game/drachen-sachen/,2019,0,0,0,0,0,0,0,Wyrmgold,Fantasy,Board Game,,,,,60,10,2,6,In Production,1.269251337
Draco Magi,https://www.beastsofwar.com/game/draco-magi/,https://www.beastsofwar.com/game/draco-magi/,2014,0,0,0,0,0,0,0,Grey Fox Games,Fantasy,Card Game,,,,,30,12,2,,,1.269251337
Dracula's America,https://www.beastsofwar.com/game/draculas-america/,https://www.beastsofwar.com/game/draculas-america/,2017,8.4,5,9,8,8,8,9,Osprey Publishing,Horror,Miniature War Game,,28mm,Heroic,,,,2,8,,5.172107978
Dracula's Feast: New Blood,https://www.beastsofwar.com/game/draculas-feast-new-blood/,https://www.beastsofwar.com/game/draculas-feast-new-blood/,2020,0,0,0,0,0,0,0,Jellybean Games,Horror,Board Game,,,,,,10,4,8,Crowd Funding,1.269251337
Draftosaurus,https://www.beastsofwar.com/game/draftosaurus/,https://www.beastsofwar.com/game/draftosaurus/,2019,0,0,0,0,0,0,0,Ankama,"Family, Strategy",Board Game,,,,,15,8,2,5,In Development,1.269251337
Dragomino,https://www.beastsofwar.com/game/dragomino/,https://www.beastsofwar.com/game/dragomino/,2020,0,0,0,0,0,0,0,Blue Orange Games,"Childrens, Fantasy",Board Game,,,,,15,5,2,4,In Development,1.269251337
Dragon Age RPG,https://www.beastsofwar.com/game/dragon-age-rpg/,https://www.beastsofwar.com/game/dragon-age-rpg/,2010,0,1,0,0,0,0,0,Green Ronin Publishing,Fantasy,Role-playing Game,,,,,,,,,,1.022088992
Dragon Ball Super: Heroic Battles,https://www.beastsofwar.com/game/dragon-ball-super-heroic-battles/,https://www.beastsofwar.com/game/dragon-ball-super-heroic-battles/,2018,0,0,0,0,0,0,0,IDW Games,"Pulp, Science Fiction",Board Game,,,,,,,,,In Development,1.269251337
Dragon Ball Z Miniature Mayhem,https://www.beastsofwar.com/game/dragon-ball-z-miniature-mayhem/,https://www.beastsofwar.com/game/dragon-ball-z-miniature-mayhem/,2020,0,0,0,0,0,0,0,"CMON, IDW Games",Pulp,Board Game,,,,,,,,,,1.269251337
Dragon Ball Z: Over 9000,https://www.beastsofwar.com/game/dragon-ball-z-over-9000/,https://www.beastsofwar.com/game/dragon-ball-z-over-9000/,2018,0,0,0,0,0,0,0,IDW Games,"Pulp, Science Fiction",Board Game,,,,,,,,,In Development,1.269251337
Dragon Castle,https://www.beastsofwar.com/game/dragon-castle/,https://www.beastsofwar.com/game/dragon-castle/,2018,0,1,0,0,0,0,0,CMON,"Family, Fantasy",Board Game,,,,,,,,,In Production,1.022088992
Dragon Keeper,https://www.beastsofwar.com/game/dragon-keeper/,https://www.beastsofwar.com/game/dragon-keeper/,2016,0,0,0,0,0,0,0,Ilopeli,Fantasy,Board Game,,,,,20,10,2,4,,1.269251337
Dragon Market,https://www.beastsofwar.com/game/dragon-market/,https://www.beastsofwar.com/game/dragon-market/,2019,0,0,0,0,0,0,0,Blue Orange Games,Family,Board Game,,,,,30,7,2,4,In Production,1.269251337
Dragon Rampant,https://www.beastsofwar.com/game/dragon-rampant/,https://www.beastsofwar.com/game/dragon-rampant/,2015,7.7,14,9.6,5.7,7.5,6.4,9,Osprey Publishing,Fantasy,Miniature War Game,,,,,60,,2,,,6.233630778
Dragon Tides,https://www.beastsofwar.com/game/dragon-tides/,https://www.beastsofwar.com/game/dragon-tides/,2015,0,0,0,0,0,0,0,Artistic Justice Games,Weird,Board Game,,,,,60,13,1,5,,1.269251337
Dragonfire,https://www.beastsofwar.com/game/dragonfire/,https://www.beastsofwar.com/game/dragonfire/,2017,0,0,0,0,0,0,0,Catalyst Game Labs,Fantasy,Card Game,,,,,60,13,2,6,,1.269251337
Dragons & Chickens,https://www.beastsofwar.com/game/dragons-chickens/,https://www.beastsofwar.com/game/dragons-chickens/,2016,0,0,0,0,0,0,0,Devir Games,Humour,Card Game,,,,,15,8,2,5,,1.269251337
Drake: The Dragon Wargame,https://www.beastsofwar.com/game/drake/,https://www.beastsofwar.com/game/drake/,2013,0,0,0,0,0,0,0,Action Games Miniatures,Fantasy,Miniature War Game,,,,,120,12,2,,,1.269251337
Drakerys,https://www.beastsofwar.com/game/drakerys/,https://www.beastsofwar.com/game/drakerys/,2016,0,2,0,0,0,0,0,Don't Panic Games,Fantasy,Miniature War Game,,,,,90,14,2,,,0.855497306
Drakon,https://www.beastsofwar.com/game/drakon/,https://www.beastsofwar.com/game/drakon/,2001,0,1,0,0,0,0,0,,Fantasy,Board Game,,,,,20,10,2,6,,1.022088992
Dread,https://www.beastsofwar.com/game/dread/,https://www.beastsofwar.com/game/dread/,2004,7.2,5,10,5,8,3,10,The Impossible Dream,Horror,Role-playing Game,,,,,,,,,,4.515314675
Dreadball,https://www.beastsofwar.com/game/dreadball/,https://www.beastsofwar.com/game/dreadball/,2012,8.2,30,9.8,7.2,7.3,7,9,Mantic Games,"Science Fiction, Sports",Board Game,,,,,90,14,2,2,,7.36037975
Dreadball Xtreme,https://www.beastsofwar.com/game/dreadball-extreme/,https://www.beastsofwar.com/game/dreadball-extreme/,2015,7.3,20,8.8,7.3,5.8,6,8,Mantic Games,"Science Fiction, Sports",Board Game,,,,,45,,2,2,,6.266703312
Dreadfleet,https://www.beastsofwar.com/game/dreadfleet/,https://www.beastsofwar.com/game/dreadfleet/,2011,6.7,10,5.5,10,4.5,8.5,5,Games Workshop,Fantasy,Miniature War Game,,,,,60,12,2,10,,5.111229168
Dream On,https://www.beastsofwar.com/game/dream-on/,https://www.beastsofwar.com/game/dream-on/,2017,0,0,0,0,0,0,0,CMON,Family,Card Game,,,,,20,7,2,8,In Production,1.269251337
Dresden Files RPG,https://www.beastsofwar.com/game/dresden-files-rpg/,https://www.beastsofwar.com/game/dresden-files-rpg/,TBA,0,4,0,0,0,0,0,Evil Hat Productions,Science Fiction,Role-playing Game,,,,,,,,,,0.645179819
Dropfleet Commander,https://www.beastsofwar.com/game/dropfleet/,https://www.beastsofwar.com/game/dropfleet/,2016,8.5,63,8.1,9.7,7.2,9.4,8,TTCombat,Science Fiction,Miniature War Game,,,,,90,,2,4,In Production,8.054611731
Dropzone Commander,https://www.beastsofwar.com/game/dropzone-commander/,https://www.beastsofwar.com/game/dropzone-commander/,2012,8.3,91,7.9,9.4,7.4,8.8,7,TTCombat,Science Fiction,Miniature War Game,,10mm,Heroic,,120,,2,4,In Production,7.994390879
DrunkQuest,https://www.beastsofwar.com/game/drunkquest/,https://www.beastsofwar.com/game/drunkquest/,2016,0,1,0,0,0,0,0,Ninja Division,Humour,Card Game,,,,,30,18,2,6,,1.022088992
Duel Fighters,https://www.beastsofwar.com/game/duel-fighters/,https://www.beastsofwar.com/game/duel-fighters/,2013,0,0,0,0,0,0,0,Scale Games,Fantasy,Miniature War Game,,75mm,Heroic,,,,2,,,1.269251337
Dumpster Diver,https://www.beastsofwar.com/game/dumpster-diver/,https://www.beastsofwar.com/game/dumpster-diver/,2016,0,0,0,0,0,0,0,MegaCon Games,Weird,Card Game,,,,,20,,2,4,,1.269251337
DUNE,https://www.beastsofwar.com/game/dune/,https://www.beastsofwar.com/game/dune/,2019,0,2,0,0,0,0,0,Gale Force Nine,"Science Fiction, Strategy",Board Game,,,,,120,14,2,6,In Development,0.855497306
Dune: Adventures In The Imperium,https://www.beastsofwar.com/game/dune-adventures-in-the-imperium/,https://www.beastsofwar.com/game/dune-adventures-in-the-imperium/,2021,0,0,0,0,0,0,0,Modiphius Entertainment,Science Fiction,Role-playing Game,,,,,360,14,2,5,In Development,1.269251337
Dungeon Academy,https://www.beastsofwar.com/game/dungeon-academy-2/,https://www.beastsofwar.com/game/dungeon-academy-2/,2019,0,0,0,0,0,0,0,USAopoly,"Family, Fantasy",Board Game,,,,,,,1,6,,1.269251337
Dungeon Academy,https://www.beastsofwar.com/game/dungeon-academy/,https://www.beastsofwar.com/game/dungeon-academy/,2019,0,0,0,0,0,0,0,USAopoly,Fantasy,,,,,,20,10,1,6,In Production,1.269251337
Dungeon Derby,https://www.beastsofwar.com/game/dungeon-derby/,https://www.beastsofwar.com/game/dungeon-derby/,,0,0,0,0,0,0,0,,,,,,,,,,,,,1.269251337
Dungeon Mayhem,https://www.beastsofwar.com/game/dungeon-mayhem/,https://www.beastsofwar.com/game/dungeon-mayhem/,,0,0,0,0,0,0,0,Wizards of the Coast,"Family, Fantasy",Card Game,,,,,15,,,,,1.269251337
Dungeon Mayhem: Battle for Baldur's Gate,https://www.beastsofwar.com/game/dungeon-mayhem-battle-for-baldurs-gate/,https://www.beastsofwar.com/game/dungeon-mayhem-battle-for-baldurs-gate/,2019,0,1,0,0,0,0,0,Wizards of the Coast,Fantasy,Card Game,,,,,10,,2,4,In Production,1.022088992
Dungeon Mini,https://www.beastsofwar.com/game/dungeon-mini/,https://www.beastsofwar.com/game/dungeon-mini/,TBA,0,0,0,0,0,0,0,Ynnis Interactive,Fantasy,Video Game,,,,,,,,,,1.269251337
Dungeon Raiders,https://www.beastsofwar.com/game/dungeon-raiders/,https://www.beastsofwar.com/game/dungeon-raiders/,2018,0,1,0,0,0,0,0,Devir Games,Fantasy,Card Game,,,,,20,8,3,5,In Production,1.022088992
Dungeon Saga,https://www.beastsofwar.com/game/dungeon-saga/,https://www.beastsofwar.com/game/dungeon-saga/,2015,7.4,47,8.8,8.3,6.5,6.1,7,Mantic Games,Fantasy,Miniature War Game,,28mm,Heroic,,30,10,2,5,,6.904208408
Dungeon Storming,https://www.beastsofwar.com/game/dungeon-storming/,https://www.beastsofwar.com/game/dungeon-storming/,2015,0,0,0,0,0,0,0,Greebo Games,Fantasy,Board Game,,,,,,,1,2,,1.269251337
Dungeon! the Board Game,https://www.beastsofwar.com/game/dungeon-the-board-game/,https://www.beastsofwar.com/game/dungeon-the-board-game/,1975,0,2,0,0,0,0,0,Wizards of the Coast,Fantasy,Board Game,,,,,30,8,1,8,,0.855497306
Dungeonology,https://www.beastsofwar.com/game/dungeonology/,https://www.beastsofwar.com/game/dungeonology/,2020,0,0,0,0,0,0,0,Ludus Magnus Studio,Fantasy,Board Game,,,,,,,1,4,Crowd Funding,1.269251337
DungeonQuest,https://www.beastsofwar.com/game/dungeonquest/,https://www.beastsofwar.com/game/dungeonquest/,1985,8.2,5,10,8,7,7,9,,Fantasy,Board Game,,,,,60,14,1,4,,5.062642427
Dungeons & Dragons Dice Masters: Battle for Faerun,https://www.beastsofwar.com/game/dd-dice-masters/,https://www.beastsofwar.com/game/dd-dice-masters/,2015,0,2,0,0,0,0,0,WizKids,Fantasy,Dice Game,,,,,60,14,2,2,,0.855497306
Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage,https://www.beastsofwar.com/game/dungeons-dragons-waterdeep-dungeon-of-the-mad-mage/,https://www.beastsofwar.com/game/dungeons-dragons-waterdeep-dungeon-of-the-mad-mage/,2019,0,0,0,0,0,0,0,WizKids,Fantasy,Board Game,,,,,60,14,1,5,In Production,1.269251337
Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage Board Game,https://www.beastsofwar.com/game/dungeons-dragons-waterdeep-dungeon-of-the-mad-mage-board-game/,https://www.beastsofwar.com/game/dungeons-dragons-waterdeep-dungeon-of-the-mad-mage-board-game/,2019,0,0,0,0,0,0,0,WizKids,Fantasy,Board Game,,,,,60,14,1,5,In Production,1.269251337
Dungeons & Dragons,https://www.beastsofwar.com/game/dungeons-dragons/,https://www.beastsofwar.com/game/dungeons-dragons/,1974,8.7,33,8.5,7.1,9.2,9.1,9,Wizards of the Coast,Fantasy,Role-playing Game,,,,,,12,3,,In Production,7.872530285
Dungeons & Dragons Attack Wing,https://www.beastsofwar.com/game/dungeons-dragons-attack-wing/,https://www.beastsofwar.com/game/dungeons-dragons-attack-wing/,2014,0,1,0,0,0,0,0,WizKids,Fantasy,Board Game,,,,,30,14,2,4,,1.022088992
DUST 1947,https://www.beastsofwar.com/game/dust-1947/,https://www.beastsofwar.com/game/dust-1947/,2016,8.9,21,8.5,9.5,8.3,9.8,8,Dust Studio,Historical,Miniature War Game,,32mm,Heroic,,60,10,2,8,,7.644578444
DUST Adventures,https://www.beastsofwar.com/game/dust-adventures/,https://www.beastsofwar.com/game/dust-adventures/,2015,0,3,0,0,0,0,0,Modiphius Entertainment,Historical,Role-playing Game,,,,,,,,,,0.735600734
Dust Tactics,https://www.beastsofwar.com/game/dust-tactics/,https://www.beastsofwar.com/game/dust-tactics/,2015,8.2,16,7.7,9.7,8,9.7,6,,Historical,Board Game,,32mm,Heroic,,45,13,2,4,,6.776594709
Dust Warfare,https://www.beastsofwar.com/game/dust-warfare/,https://www.beastsofwar.com/game/dust-warfare/,2012,7.2,11,6.4,9.1,6.8,8.6,5,,Historical,Miniature War Game,,32mm,Heroic,,60,14,2,4,,5.579589464
Dwarf King's Hold: Dead Rising,https://www.beastsofwar.com/game/dwarf-kings-hold/,https://www.beastsofwar.com/game/dwarf-kings-hold/,2015,0,1,0,0,0,0,0,Mantic Games,Fantasy,Miniature War Game,,28mm,Heroic,,30,10,2,5,,1.022088992
Dwellings of Eldervale,https://www.beastsofwar.com/game/dwellings-of-eldervale/,https://www.beastsofwar.com/game/dwellings-of-eldervale/,,0,0,0,0,0,0,0,Breaking Games,Fantasy,Board Game,,,,,150,14,1,5,Crowd Funding,1.269251337
Dying Star Oblivion,https://www.beastsofwar.com/game/dying-star-oblivion/,https://www.beastsofwar.com/game/dying-star-oblivion/,TBA,0,0,0,0,0,0,0,Superfluid Industries,Science Fiction,Miniature War Game,,,,,,,2,,,1.269251337
Dystopian Legions,https://www.beastsofwar.com/game/dystopian-legions/,https://www.beastsofwar.com/game/dystopian-legions/,2012,0,3,0,0,0,0,0,Spartan Games,Steampunk,Miniature War Game,,28mm,Heroic,,120,12,2,8,,0.735600734
Dystopian Wars,https://www.beastsofwar.com/game/dystopian-wars/,https://www.beastsofwar.com/game/dystopian-wars/,2010,6.3,10,6.5,8.5,3.5,6.5,6,Spartan Games,Steampunk,Miniature War Game,,1.500694444,TRUE,,120,12,2,,,4.828249559
Eclipse Phase,https://www.beastsofwar.com/game/eclipse-phase/,https://www.beastsofwar.com/game/eclipse-phase/,2009,0,3,0,0,0,0,0,Posthuman Studios,Cyberpunk,Role-playing Game,,,,,,,2,,,0.735600734
Eco-Links,https://www.beastsofwar.com/game/eco-links/,https://www.beastsofwar.com/game/eco-links/,2018,0,0,0,0,0,0,0,Korea Boardgames Co.,Family,Board Game,,,,,30,7,2,4,In Production,1.269251337
Ecos: First Continent,https://www.beastsofwar.com/game/ecos-first-continent/,https://www.beastsofwar.com/game/ecos-first-continent/,2019,0,0,0,0,0,0,0,AEG Alderac Entertainment Group,Educational,Board Game,,,,,75,14,2,6,In Development,1.269251337
Eden,https://www.beastsofwar.com/game/eden/,https://www.beastsofwar.com/game/eden/,TBA,7.7,7,7.9,10,4.3,9.3,7,Happy Games Factory,Post-Apocalyptic,Miniature War Game,,28mm,Heroic,,60,10,2,4,,5.311824453
Egizia: Shifting Sands,https://www.beastsofwar.com/game/egizia-shifting-sands/,https://www.beastsofwar.com/game/egizia-shifting-sands/,2019,0,0,0,0,0,0,0,Stronghold Games,Historical,Board Game,,,,,90,14,2,4,Crowd Funding,1.269251337
Elder Sign,https://www.beastsofwar.com/game/elder-sign/,https://www.beastsofwar.com/game/elder-sign/,2011,8.3,6,10,8.3,5,9.2,9,,Horror,Board Game,,,,,90,13,1,8,,5.431389257
Eldritch Horror,https://www.beastsofwar.com/game/eldritch-horror/,https://www.beastsofwar.com/game/eldritch-horror/,2013,8,11,6.4,9.1,7.7,9.5,7,,Horror,Board Game,,,,,120,14,1,8,,6.161011928
Electronic Dream Phone,https://www.beastsofwar.com/game/electronic-dream-phone/,https://www.beastsofwar.com/game/electronic-dream-phone/,1991,0,0,0,0,0,0,0,Hasbro,Childrens,Board Game,,,,,20,9,1,4,Out of Production,1.269251337
Elite Dangerous Role-Playing Game,https://www.beastsofwar.com/game/elite-dangerous-role-playing-game/,https://www.beastsofwar.com/game/elite-dangerous-role-playing-game/,2017,0,0,0,0,0,0,0,Spidermind Games,Science Fiction,Role-playing Game,,,,,,,,,,1.269251337
ELITE Dangerous: Battle Cards,https://www.beastsofwar.com/game/elite-dangerous-battle-cards/,https://www.beastsofwar.com/game/elite-dangerous-battle-cards/,,0,1,0,0,0,0,0,,,,,,,,,,,,,1.022088992
Embers of Dread,https://www.beastsofwar.com/game/embers-of-dread/,https://www.beastsofwar.com/game/embers-of-dread/,2018,0,0,0,0,0,0,0,,Fantasy,Video Game,,,,,,,,,,1.269251337
Embers Of Memory: A Throne Of Glass Game,https://www.beastsofwar.com/game/embers-of-memory-a-throne-of-glass-game/,https://www.beastsofwar.com/game/embers-of-memory-a-throne-of-glass-game/,2019,0,0,0,0,0,0,0,Osprey Publishing,Fantasy,Card Game,,,,,60,12,1,2,In Production,1.269251337
Emergence Event,https://www.beastsofwar.com/game/emergence-event/,https://www.beastsofwar.com/game/emergence-event/,2015,0,0,0,0,0,0,0,MegaCon Games,Science Fiction,Board Game,,,,,120,12,2,4,,1.269251337
Empire of the Dead,https://www.beastsofwar.com/game/empire-of-the-dead/,https://www.beastsofwar.com/game/empire-of-the-dead/,2012,7.4,5,9,7,7,8,6,West Wind Productions,Horror,Miniature War Game,,28mm,Heroic,,,,2,,,4.624780225
Empire Of The Stars,https://www.beastsofwar.com/game/empire-of-the-stars/,https://www.beastsofwar.com/game/empire-of-the-stars/,2020,0,0,0,0,0,0,0,Crosscut Games,Science Fiction,Board Game,,,,,90,10,2,4,Crowd Funding,1.269251337
En Garde!,https://www.beastsofwar.com/game/en-garde/,https://www.beastsofwar.com/game/en-garde/,2005,0,0,0,0,0,0,0,SlugFest Games,Fantasy,Card Game,,,,,45,10,2,6,Crowd Funding,1.269251337
Endangered,https://www.beastsofwar.com/game/endangered/,https://www.beastsofwar.com/game/endangered/,2019,0,0,0,0,0,0,0,Grand Gamers Guild,Educational,Board Game,,,,,90,13,2,5,Crowd Funding,1.269251337
Endeavor: Age of Expansion,https://www.beastsofwar.com/game/endeavor-age-of-expansion/,https://www.beastsofwar.com/game/endeavor-age-of-expansion/,2020,0,0,0,0,0,0,0,"Grand Gamers Guild, Burnt Island Games",Historical,Board Game,,,,,90,13,2,5,Crowd Funding,1.269251337
Endure The Stars,https://www.beastsofwar.com/game/endure-the-stars/,https://www.beastsofwar.com/game/endure-the-stars/,2017,0,0,0,0,0,0,0,Grimlord Games,Science Fiction,Board Game,,32mm,Heroic,,30,13,1,6,,1.269251337
Enigma: Beyond Code,https://www.beastsofwar.com/game/enigma-beyond-code/,https://www.beastsofwar.com/game/enigma-beyond-code/,2020,0,0,0,0,0,0,0,CrowD Games,"Murder & Mystery, Weird",Card Game,,,,,60,12,1,5,In Development,1.269251337
Epic Card Game,https://www.beastsofwar.com/game/epic-card-game/,https://www.beastsofwar.com/game/epic-card-game/,2015,0,0,0,0,0,0,0,White Wizard Games,Fantasy,Card Game,,,,,20,13,2,4,,1.269251337
Epic Death!,https://www.beastsofwar.com/game/epic-death/,https://www.beastsofwar.com/game/epic-death/,2014,0,0,0,0,0,0,0,Waits in Graves,Fantasy,Card Game,,,,,30,12,2,5,,1.269251337
Epic PvP,https://www.beastsofwar.com/game/epic-pvp/,https://www.beastsofwar.com/game/epic-pvp/,2015,0,1,0,0,0,0,0,,Fantasy,Card Game,,,,,20,10,2,4,,1.022088992
Epic Spell Wars Of The Battle Wizards,https://www.beastsofwar.com/game/epic-spell-wars/,https://www.beastsofwar.com/game/epic-spell-wars/,2012,0,3,0,0,0,0,0,Cryptozoic Entertainment,Fantasy,Card Game,,,,,30,15,2,6,,0.735600734
Era: Medieval Age,https://www.beastsofwar.com/game/era-medieval-age/,https://www.beastsofwar.com/game/era-medieval-age/,2019,0,0,0,0,0,0,0,Eggert Spiele,Historical,Dice Game,,,,,45,12,1,4,In Development,1.269251337
Escape From Colditz,https://www.beastsofwar.com/game/escape-from-colditz/,https://www.beastsofwar.com/game/escape-from-colditz/,1973,0,3,0,0,0,0,0,Osprey Publishing,Historical,Board Game,,,,,180,12,2,6,,0.735600734
Escape From The Aliens In Outer Space,https://www.beastsofwar.com/game/escape-from-the-aliens-in-outer-space/,https://www.beastsofwar.com/game/escape-from-the-aliens-in-outer-space/,2010,0,1,0,0,0,0,0,Osprey Publishing,Science Fiction,Card Game,,,,,30,13,2,8,,1.022088992
Escape Puzzle: Space Observatory,https://www.beastsofwar.com/game/escape-puzzle-space-observatory/,https://www.beastsofwar.com/game/escape-puzzle-space-observatory/,2019,0,0,0,0,0,0,0,Ravensburger,Puzzle,Board Game,,,,,,12,1,,In Production,1.269251337
Escape Puzzle: Temple,https://www.beastsofwar.com/game/escape-puzzle-temple/,https://www.beastsofwar.com/game/escape-puzzle-temple/,2019,0,0,0,0,0,0,0,Ravensburger,Puzzle,Board Game,,,,,,12,1,,In Production,1.269251337
Escape Puzzle: Witch's Kitchen,https://www.beastsofwar.com/game/escape-puzzle-witchs-kitchen/,https://www.beastsofwar.com/game/escape-puzzle-witchs-kitchen/,2019,0,0,0,0,0,0,0,Ravensburger,Puzzle,Board Game,,,,,,12,1,,In Production,1.269251337
Escape Tales: Low Memory,https://www.beastsofwar.com/game/escape-tales-low-memory/,https://www.beastsofwar.com/game/escape-tales-low-memory/,2019,0,0,0,0,0,0,0,Board & Dice,"Cyberpunk, Murder & Mystery",Board Game,,,,,360,16,1,4,In Development,1.269251337
Escape Tales: The Awakening,https://www.beastsofwar.com/game/escape-tales-the-awakening/,https://www.beastsofwar.com/game/escape-tales-the-awakening/,2018,0,0,0,0,0,0,0,Board & Dice,Horror,Board Game,,,,,360,12,1,4,In Production,1.269251337
Escape The Dark Castle,https://www.beastsofwar.com/game/escape-the-dark-castle/,https://www.beastsofwar.com/game/escape-the-dark-castle/,2018,8.9,18,9.4,8.5,8.8,8.8,8,Themeborne,Fantasy,Card Game,,,,,20,14,1,4,,7.474430957
Escape The Dark Sector,https://www.beastsofwar.com/game/escape-the-dark-sector/,https://www.beastsofwar.com/game/escape-the-dark-sector/,2020,0,0,0,0,0,0,0,Themeborne,Science Fiction,Board Game,,,,,60,12,1,4,In Development,1.269251337
Escape The Dark Sector,https://www.beastsofwar.com/game/escape-the-dark-sector-2/,https://www.beastsofwar.com/game/escape-the-dark-sector-2/,2020,0,0,0,0,0,0,0,Themeborne,Science Fiction,Board Game,,,,,60,,1,4,Crowd Funding,1.269251337
Escape: Fighting for Freedom,https://www.beastsofwar.com/game/escape/,https://www.beastsofwar.com/game/escape/,2013,0,1,0,0,0,0,0,Happy Games Factory,Post-Apocalyptic,Board Game,,28mm,Heroic,,60,12,1,6,,1.022088992
Eternal: Chronicles Of The Throne,https://www.beastsofwar.com/game/eternal-chronicles-of-the-throne/,https://www.beastsofwar.com/game/eternal-chronicles-of-the-throne/,2019,0,0,0,0,0,0,0,Renegade Game Studios,Fantasy,Card Game,,,,,45,13,2,4,In Development,1.269251337
Etherfields,https://www.beastsofwar.com/game/etherfields/,https://www.beastsofwar.com/game/etherfields/,2020,0,0,0,0,0,0,0,Awaken Realms,Fantasy,Board Game,,,,,90,12,1,4,In Development,1.269251337
